id,text,tag
031.jpg,ua,O
031.jpg,a,O
031.jpg,o.,O
031.jpg,a,O
031.jpg,5,O
031.jpg,wo,O
031.jpg,et,O
031.jpg,c,O
031.jpg,oO,O
031.jpg,a.,O
031.jpg,3°,O
031.jpg,ps,O
031.jpg,a,O
031.jpg,|,O
031.jpg,CARRIER,O
031.jpg,INFORMATION,O
031.jpg,HANDLING,O
031.jpg,UNIT,O
031.jpg,PACKAGE,O
031.jpg,LTL,O
031.jpg,ONLY,O
031.jpg,WEIGHT,O
031.jpg,|,O
031.jpg,SQYD,O
031.jpg,QTY,O
031.jpg,TYPE,O
031.jpg,TYPE,O
031.jpg,COMMODITY,O
031.jpg,DESCRIPTION,O
031.jpg,NMFC#,O
031.jpg,CLASS,O
031.jpg,CARPET,O
031.jpg,70680,O
031.jpg,100,O
031.jpg, ,O
031.jpg, ,O
031.jpg, ,O
031.jpg, ,O
031.jpg, ,O
031.jpg, ,O
031.jpg, ,O
031.jpg,  ,O
031.jpg,SHIP,O
031.jpg,PCD,O
031.jpg,C,O
031.jpg,PER,O
031.jpg,KATHY,O
031.jpg,Carrier,O
031.jpg,Convenience,O
031.jpg,TAMSON,O
031.jpg,503-620-7080,O
031.jpg, ,O
031.jpg,   ,O
031.jpg,   ,O
031.jpg,  ,O
031.jpg,CARRIER,O
031.jpg,SIGNATURE,O
031.jpg,Trailer,O
031.jpg,Loaded,O
031.jpg,F,O
031.jpg,ht,O
031.jpg,C,O
031.jpg,d,O
031.jpg,railer,O
031.jpg,Loade,O
031.jpg,reight,O
031.jpg,Counte,O
031.jpg,PICKUP,O
031.jpg,DATE,O
031.jpg,By,O
031.jpg,Shipper,O
031.jpg,By,O
031.jpg,Shipper,O
031.jpg,By,O
031.jpg,Driver,O
031.jpg,|,O
031.jpg,|,O
031.jpg,By,O
031.jpg,Driver/Paltets,O
031.jpg,|,O
031.jpg,By,O
031.jpg,Driver/Pieces,O
031.jpg,SHIPPER,O
031.jpg,SIGNATURE,O
031.jpg,/,O
031.jpg,DATE,O
031.jpg,  ,O
031.jpg,01/02/2020,O
031.jpg,  ,O
031.jpg,01/02/2020,O
031.jpg, ,O
032.jpg,ENGINEERED,B-COMPANY_NAME
032.jpg,FLOORS,I-COMPANY_NAME
032.jpg,LLC,I-COMPANY_NAME
032.jpg,Load,O
032.jpg,List,O
032.jpg,DATE:,B-DATE
032.jpg,1/02/2,I-DATE
032.jpg,3201,O
032.jpg,N,O
032.jpg,DALTON,O
032.jpg,BYPASS,O
032.jpg,Load,O
032.jpg,Number,O
032.jpg,PO,O
032.jpg,BOX,O
032.jpg,2207,O
032.jpg,94318,O
032.jpg,CUST:,B-CUST_NO
032.jpg,3041,I-CUST_NO
032.jpg,"DALTON,",O
032.jpg,GA,O
032.jpg,30720,O
032.jpg,BOL#:,B-INVOICE_NO
032.jpg,7357885,I-INVOICE_NO
032.jpg,G,B-CUST_NAME
032.jpg,W,I-CUST_NAME
032.jpg,PAULSON,I-CUST_NAME
032.jpg,co,I-CUST_NAME
032.jpg,G,O
032.jpg,W,O
032.jpg,PAULSON,O
032.jpg,co,O
032.jpg,DBA/PAULSONS,O
032.jpg,FLOORCOVERINGS,O
032.jpg,10855,O
032.jpg,SW,O
032.jpg,CASCADE,O
032.jpg,AVR,O
032.jpg,PO,O
032.jpg,BOX,O
032.jpg,23429,O
032.jpg,PORTLAND,O
032.jpg,OR,O
032.jpg,97281,O
032.jpg,TIGARD,O
032.jpg,OR,O
032.jpg,97223,O
032.jpg,Phone:,B-PHONE
032.jpg,503~620-7080,I-PHONE
032.jpg,PACIFIC,O
032.jpg,COAST,O
032.jpg,pIstT,O
032.jpg,Trailer,O
032.jpg,#:,O
032.jpg,NA,O
032.jpg,ORDER,O
032.jpg,--ITEM-~-,O
032.jpg,STYLE,O
032.jpg,COLOR,O
032.jpg,NUMBER,O
032.jpg,LINE,O
032.jpg,-NUMBER-,O
032.jpg,CODE,O
032.jpg,CODE,O
032.jpg,-DYE,O
032.jpg,LOT#-,O
032.jpg,WIDTH,O
032.jpg,LENGTH,O
032.jpg,SQ,O
032.jpg,YARDS,O
032.jpg,UNIT,O
032.jpg,WEIGHT,O
032.jpg,P.O.#,O
032.jpg,41860WOSPT,O
032.jpg,7221788,O
032.jpg,1,O
032.jpg,72584819-5510,O
032.jpg,772,O
032.jpg,348206,O
032.jpg,12,O
032.jpg,22,O
032.jpg,29.33,O
032.jpg,1,O
032.jpg,152,O
032.jpg,WORLD,O
032.jpg,CLASS,O
032.jpg,II-FAWN,O
032.jpg,SDMRK,O
032.jpg,:,O
032.jpg,CHRISTIANSEN,O
032.jpg,~UNITS-,O
032.jpg,--WEIGHT-,O
032.jpg,-,O
032.jpg,-SQ,O
032.jpg,YARDS-,O
032.jpg,1,O
032.jpg,152,O
032.jpg,29.33,O
016.jpg,(ated,O
016.jpg,JY,O
016.jpg,Ifo,O
016.jpg,Bil!,O
016.jpg,of,O
016.jpg,Lading,O
016.jpg,page,O
016.jpg,1,O
016.jpg,of,O
016.jpg,BOL#:,B-INVOICE_NO
016.jpg,1402903,I-INVOICE_NO
016.jpg,TRL,O
016.jpg,#¥:,O
016.jpg,8351,O
016.jpg,$37,O
016.jpg,G,O
016.jpg,SEAL#:,O
016.jpg,DATE:,B-DATE
016.jpg,12/29/2019,I-DATE
016.jpg,PRO,O
016.jpg,#:,O
016.jpg,1402903,O
016.jpg,Subject,O
016.jpg,to,O
016.jpg,Section,O
016.jpg,7,O
016.jpg,of,O
016.jpg,conditions,O
016.jpg,of,O
016.jpg,applicabte,O
016.jpg,bill,O
016.jpg,of,O
016.jpg,lading.,O
016.jpg,if,O
016.jpg,this,O
016.jpg,shipment,O
016.jpg,is,O
016.jpg,to,O
016.jpg,be,O
016.jpg,delivered,O
016.jpg,to,O
016.jpg,the,O
016.jpg,consignee,O
016.jpg,without,O
016.jpg,resource,O
016.jpg,on,O
016.jpg,the,O
016.jpg,"Consignor,",O
016.jpg,the,O
016.jpg,"consignor,",O
016.jpg,shall,O
016.jpg,sign,O
016.jpg,the,O
016.jpg,following,O
016.jpg,statement.,O
016.jpg,The,O
016.jpg,carrier,O
016.jpg,shall,O
016.jpg,not,O
016.jpg,make,O
016.jpg,delivery,O
016.jpg,of,O
016.jpg,this,O
016.jpg,shipment,O
016.jpg,without,O
016.jpg,payment,O
016.jpg,of,O
016.jpg,freight,O
016.jpg,and,O
016.jpg,all,O
016.jpg, ,O
016.jpg,  ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,MANNINGTON.,O
016.jpg,Mannington,B-COMPANY_NAME
016.jpg,Mills,I-COMPANY_NAME
016.jpg,Inc.,I-COMPANY_NAME
016.jpg,100,O
016.jpg,Marine,O
016.jpg,Dr,O
016.jpg,on’,O
016.jpg,Lb,O
016.jpg,0,O
016.jpg,L,O
016.jpg,CALHOUN,O
016.jpg,GA,O
016.jpg,30701,O
016.jpg,5,O
016.jpg,USA,O
016.jpg,ev,O
016.jpg,1-708-629-7301,B-PHONE
016.jpg,SHIP,O
016.jpg,TO:,O
016.jpg,G,B-CUST_NAME
016.jpg,W,I-CUST_NAME
016.jpg,PAULSON,I-CUST_NAME
016.jpg,COMPANY,I-CUST_NAME
016.jpg,4805,B-ADDRESS
016.jpg,N.,I-ADDRESS
016.jpg,BASIN,I-ADDRESS
016.jpg,AVE.,I-ADDRESS
016.jpg,PORTLAND,I-ADDRESS
016.jpg,OR,O
016.jpg,97217,O
016.jpg,USA,O
016.jpg,CARRIER:,O
016.jpg,DEDICATED,O
016.jpg,LLC,O
016.jpg,FREIGHT,O
016.jpg,TERMS:,O
016.jpg,SCAC:,O
016.jpg,EXW,O
016.jpg,Collect,O
016.jpg,     ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,    ,O
016.jpg,   ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,     ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,      ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,    ,O
016.jpg, ,O
016.jpg,    ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,   ,O
016.jpg,  ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,   ,O
016.jpg,    ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,other,O
016.jpg,lawful,O
016.jpg,charges.,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,Trattic,O
016.jpg,Manager,O
016.jpg,  ,O
016.jpg,(Signature,O
016.jpg,of,O
016.jpg,Consignor),O
016.jpg,CUSTOMER,O
016.jpg,"P.O,",O
016.jpg,CG900330-1,O
016.jpg, ,O
016.jpg, ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,Handling,O
016.jpg,Unit,O
016.jpg,     ,O
016.jpg, ,O
016.jpg,   ,O
016.jpg,Pallet,O
016.jpg,Carpet,O
016.jpg,Sq,O
016.jpg,or,O
016.jpg,Tiles,O
016.jpg,4130.647,O
016.jpg,467.3,O
016.jpg,70670,O
016.jpg,70,O
016.jpg,1,O
016.jpg,Shipment,O
016.jpg,Pailet,O
016.jpg,Mixed,O
016.jpg,1211.265,O
016.jpg,Mixed,O
016.jpg,Mixed,O
016.jpg,6,O
016.jpg,GRAND,B-TOTAL
016.jpg,TOTAL,I-TOTAL
016.jpg,5341.912,I-TOTAL
016.jpg,467.3,O
016.jpg,    ,O
016.jpg,   ,O
016.jpg,     ,O
016.jpg,       ,O
016.jpg,   ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,For,O
016.jpg,shipping,O
016.jpg,or,O
016.jpg,spill,O
016.jpg,response,O
016.jpg,emergency,O
016.jpg,call,O
016.jpg,CHEMTREC,O
016.jpg,at,O
016.jpg,800-424-9300,I-PHONE
016.jpg,For,O
016.jpg,product,O
016.jpg,emergency,O
016.jpg,#,O
016.jpg,exposure,O
016.jpg,question,O
016.jpg,call,O
016.jpg,Prosar,O
016.jpg,at,O
016.jpg,866-359-5602,I-PHONE
016.jpg, ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,Special,O
016.jpg,Instructions:,O
016.jpg,EVERGREEN,O
016.jpg,MIDDLE,O
016.jpg,SCHOOL,O
016.jpg,    ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,  ,O
016.jpg,Carrier,O
016.jpg,acknowledges,O
016.jpg,receipt,O
016.jpg,of,O
016.jpg,packages,O
016.jpg,and,O
016.jpg,required,O
016.jpg,Placards.,O
016.jpg,Carrier,O
016.jpg,certities,O
016.jpg,emergency,O
016.jpg,response,O
016.jpg,information,O
016.jpg,was,O
016.jpg,made,O
016.jpg,avaitable,O
016.jpg,and/or,O
016.jpg,carrier,O
016.jpg,has,O
016.jpg,the,O
016.jpg,US,O
016.jpg,DOT,O
016.jpg,emergency,O
016.jpg,response,O
016.jpg,guidebook,O
016.jpg,or,O
016.jpg,documentation,O
016.jpg,in,O
016.jpg,vehicle.,O
016.jpg,Property,O
016.jpg,described,O
016.jpg,above,O
016.jpg,received,O
016.jpg,in,O
016.jpg,good,O
016.jpg,This,O
016.jpg,is,O
016.jpg,to,O
016.jpg,certify,O
016.jpg,that,O
016.jpg,the,O
016.jpg,above,O
016.jpg,named,O
016.jpg,materiais,O
016.jpg,are,O
016.jpg,properly,O
016.jpg,"described,",O
016.jpg,classified,O
016.jpg,and,O
016.jpg,packaged,O
016.jpg,are,O
016.jpg,in,O
016.jpg,proper,O
016.jpg,condition,O
016.jpg,far,O
016.jpg,transportation,O
016.jpg,@ccording,O
016.jpg,to,O
016.jpg,the,O
016.jpg,applicable,O
016.jpg,regulations,O
016.jpg,ot,O
016.jpg,US,O
016.jpg,DOT.,O
016.jpg, ,O
016.jpg,  ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,condition,O
016.jpg,except,O
016.jpg,as,O
016.jpg,noted.,O
016.jpg, ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,  ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,Agent/C,O
016.jpg,onsignee,O
016.jpg,Date,O
016.jpg, ,O
016.jpg,Shipper,O
016.jpg,"RECEIVED,",O
016.jpg,subject,O
016.jpg,to,O
016.jpg,individually,O
016.jpg,determined,O
016.jpg,rates,O
016.jpg,or,O
016.jpg,contracts,O
016.jpg,that,O
016.jpg,have,O
016.jpg,been,O
016.jpg,agreed,O
016.jpg,upon,O
016.jpg,in,O
016.jpg,writing,O
016.jpg,between,O
016.jpg,the,O
016.jpg,carrier,O
016.jpg,and,O
016.jpg,"shipper,",O
016.jpg,if,O
016.jpg,"applicable,",O
016.jpg,otherwise,O
016.jpg,to,O
016.jpg,the,O
016.jpg,"rates,",O
016.jpg,classifications,O
016.jpg,and,O
016.jpg,that,O
016.jpg,have,O
016.jpg,been,O
016.jpg,established,O
016.jpg,by,O
016.jpg,the,O
016.jpg,carrier,O
016.jpg,and,O
016.jpg,are,O
016.jpg,available,O
016.jpg,to,O
016.jpg,the,O
016.jpg,"shipper,",O
016.jpg,on,O
016.jpg,"request,",O
016.jpg,and,O
016.jpg,to,O
016.jpg,all,O
016.jpg,applicable,O
016.jpg,state,O
016.jpg,and,O
016.jpg,tederal,O
016.jpg,regulations.,O
016.jpg,  ,O
016.jpg,   ,O
016.jpg,   ,O
016.jpg, ,O
016.jpg, ,O
016.jpg,When,O
016.jpg,the,O
016.jpg,rate,O
016.jpg,is,O
016.jpg,dependent,O
016.jpg,on,O
016.jpg,"value,",O
016.jpg,shippers,O
016.jpg,are,O
016.jpg,required,O
016.jpg,10,O
016.jpg,specifically,O
016.jpg,state,O
016.jpg,in,O
016.jpg,writing,O
016.jpg,the,O
016.jpg,agreed,O
016.jpg,or,O
016.jpg,declared,O
016.jpg,value,O
016.jpg,of,O
016.jpg,the,O
016.jpg,property,O
016.jpg,as,O
016.jpg,follows:,O
016.jpg, ,O
016.jpg,  ,O
016.jpg,The,O
016.jpg,agreed,O
016.jpg,or,O
016.jpg,declared,O
016.jpg,value,O
016.jpg,of,O
016.jpg,the,O
016.jpg,property,O
016.jpg,is,O
016.jpg,specifically,O
016.jpg,stated,O
016.jpg,by,O
016.jpg,the,O
016.jpg,shipper,O
016.jpg,to,O
016.jpg,be,O
016.jpg,not,O
016.jpg,exceeding,O
016.jpg, ,O
013.jpg,ENGINEERED,B-COMPANY_NAME
013.jpg,FLOORS,I-COMPANY_NAME
013.jpg,LLC,I-COMPANY_NAME
013.jpg,Load,O
013.jpg,List,O
013.jpg,DATE:,O
013.jpg,12/30/19,B-DATE
013.jpg,3829,B-ADDRESS
013.jpg,DUG,I-ADDRESS
013.jpg,GAP,I-ADDRESS
013.jpg,RD,I-ADDRESS
013.jpg,S$,O
013.jpg,Load,O
013.jpg,Number,O
013.jpg,PO,O
013.jpg,BOX,O
013.jpg,2207,O
013.jpg,90047,O
013.jpg,CUST:,B-CUST_NO
013.jpg,30418,I-CUST_NO
013.jpg,"DALTON,",O
013.jpg,GA,O
013.jpg,30720,O
013.jpg,BOL#:,B-INVOICE_NO
013.jpg,7353157,I-INVOICE_NO
013.jpg,G,B-CUST_NAME
013.jpg,W,I-CUST_NAME
013.jpg,PAULSON,I-CUST_NAME
013.jpg,CO,I-CUST_NAME
013.jpg,G,O
013.jpg,W,O
013.jpg,PAULSON,O
013.jpg,CO,O
013.jpg,DBA/PAULSONS,O
013.jpg,FLOORCOVERINGS,O
013.jpg,10855,O
013.jpg,SW,O
013.jpg,CASCADE,O
013.jpg,AVE,O
013.jpg,PO,O
013.jpg,BOX,O
013.jpg,23429,O
013.jpg,PORTLAND,O
013.jpg,OR,O
013.jpg,97281,O
013.jpg,TIGARD,O
013.jpg,OR,O
013.jpg,97223,O
013.jpg,Phone:,B-PHONE
013.jpg,503-620-7080,I-PHONE
013.jpg,PACIFIC,O
013.jpg,COAST,O
013.jpg,DIST,O
013.jpg,Trailer,O
013.jpg,#:,O
013.jpg,NA,O
013.jpg,ORDER,O
013.jpg,--ITEM--,O
013.jpg,STYLE,O
013.jpg,COLOR,O
013.jpg,NUMBER,O
013.jpg,LINE,O
013.jpg,-NUMBER-,O
013.jpg,CODE,O
013.jpg,CODE,O
013.jpg,-DYE,O
013.jpg,LOT#-,O
013.jpg,WIDTH,O
013.jpg,LENGTH,O
013.jpg,SQ,O
013.jpg,YARDS,O
013.jpg,UNIT,O
013.jpg,WEICHT,O
013.jpg,P.O.#,O
013.jpg,42014RKJI,O
013.jpg,7221056,O
013.jpg,1,O
013.jpg,31465399,O
013.jpg,182,O
013.jpg,350185,O
013.jpg,12,O
013.jpg,179.06,O
013.jpg,239.33,O
013.jpg,L,O
013.jpg,1058,O
013.jpg,OPULENT,O
013.jpg,II-CLAM,O
013.jpg,SHELL,O
013.jpg,SDMRK:MISSION,O
013.jpg,CP,O
013.jpg,5,O
013.jpg,-UNITS-,O
013.jpg,-,O
013.jpg,-WEIGHT-,O
013.jpg,-,O
013.jpg,-SQ,O
013.jpg,YARDS-,O
013.jpg,1,O
013.jpg,1058,O
013.jpg,239.33,O
036.jpg,ENGINBERED,B-COMPANY_NAME
036.jpg,FLOORS,I-COMPANY_NAME
036.jpg,LLC,I-COMPANY_NAME
036.jpg,Load,O
036.jpg,List,O
036.jpg,DATE:,B-DATE
036.jpg,12/31/19,I-DATE
036.jpg,3829,O
036.jpg,DUG,O
036.jpg,GAP,O
036.jpg,RD,O
036.jpg,Load,O
036.jpg,Number,O
036.jpg,PO,O
036.jpg,BOX,O
036.jpg,2207,O
036.jpg,93830,O
036.jpg,CUST:,B-CUST_NO
036.jpg,30418,I-CUST_NO
036.jpg,"DALTON,",O
036.jpg,GA,O
036.jpg,30720,O
036.jpg,BOL#:,B-INVOICE_NO
036.jpg,7356993,I-INVOICE_NO
036.jpg,G,B-CUST_NAME
036.jpg,W,I-CUST_NAME
036.jpg,PAULSON,I-CUST_NAME
036.jpg,CO,I-CUST_NAME
036.jpg,G,O
036.jpg,W,O
036.jpg,PAULSON,O
036.jpg,CO,O
036.jpg,DBA/PAULSONS,O
036.jpg,FLOORCOVERINGS,O
036.jpg,184,O
036.jpg,NE,O
036.jpg,FRANKLIN,O
036.jpg,AVE,O
036.jpg,PO,O
036.jpg,BOX,O
036.jpg,23429,O
036.jpg,PORTLAND,O
036.jpg,OR,O
036.jpg,97281,O
036.jpg,BEND,O
036.jpg,OR,O
036.jpg,97701,O
036.jpg,Phone:,B-PHONE
036.jpg,541-383-2286,I-PHONE
036.jpg,PACIFIC,O
036.jpg,COAST,O
036.jpg,DIST,O
036.jpg,Trailer,O
036.jpg,#:,O
036.jpg,NA,O
036.jpg,ORDER,O
036.jpg,~-ITEM--,O
036.jpg,STYLE,O
036.jpg,COLOR,O
036.jpg,NUMBER,O
036.jpg,LINE,O
036.jpg,-NUMBER-,O
036.jpg,CODE,O
036.jpg,CODE,O
036.jpg,~-DYE,O
036.jpg,LOT#-,O
036.jpg,WIDTH,O
036.jpg,LENGTH,O
036.jpg,SQ,O
036.jpg,YARDS,O
036.jpg,UNIT,O
036.jpg,WEIGHT,O
036.jpg,P.O.#,O
036.jpg,41873,O
036.jpg,BEND,O
036.jpg,SPT,O
036.jpg,7223861,O
036.jpg,1,O
036.jpg,107,O
036.jpg,347961,O
036.jpg,12,O
036.jpg,111.09,O
036.jpg,149,O
036.jpg,1,O
036.jpg,612,O
036.jpg,CAPELLA,O
036.jpg,I-ICE,O
036.jpg,LATTE,O
036.jpg,SDMRK:,O
036.jpg,CRV08185,O
036.jpg,-UNITS-,O
036.jpg,~-WEIGHT-,O
036.jpg,-,O
036.jpg,-SQ,O
036.jpg,YARDS-,O
036.jpg,612,O
036.jpg,149,O
049.jpg,LCNESOME,B-COMPANY_NAME
049.jpg,OAK,I-COMPANY_NAME
049.jpg,TRADING,I-COMPANY_NAME
049.jpg,COMPANY,I-COMPANY_NAME
049.jpg,Load,O
049.jpg,List,O
049.jpg,DATE:,B-DATE
049.jpg,1/03/20,I-DATE
049.jpg,445,O
049.jpg,LOWY,O
049.jpg,DRIVE,O
049.jpg,Load,O
049.jpg,Number,O
049.jpg,93631,O
049.jpg,CUST:,B-CUST_NO
049.jpg,8361,I-CUST_NO
049.jpg,CHATSWORTH,O
049.jpg,30705,O
049.jpg,NS310SM,B-CUST_NAME
049.jpg,LLC,I-CUST_NAME
049.jpg,NS310SM,O
049.jpg,LLC,O
049.jpg,DBA,O
049.jpg,PREMIER,O
049.jpg,FLOOR,O
049.jpg,COVERING,O
049.jpg,PREMIER,O
049.jpg,FLOOR,O
049.jpg,COVERING,O
049.jpg,2750,O
049.jpg,W,O
049.jpg,11TH,O
049.jpg,AVE,O
049.jpg,508,O
049.jpg,S,O
049.jpg,MAIN,O
049.jpg,EUGENE,O
049.jpg,OR,O
049.jpg,97355,O
049.jpg,LEBANON,O
049.jpg,OR,O
049.jpg,97355,O
049.jpg,NORTH,O
049.jpg,GEORGIA,O
049.jpg,DIST,O
049.jpg,&,O
049.jpg,ORDER,O
049.jpg,NUMBER,O
049.jpg,LINE,O
049.jpg,-NUMBER-,O
049.jpg,P.O.#,O
049.jpg,L004047,O
049.jpg,126879,O
049.jpg,1,O
049.jpg,70051991,O
049.jpg,SPECTRE-~GALORE,O
049.jpg,LOGISTICS,O
049.jpg,Trailer,O
049.jpg,#:,O
049.jpg,1,O
049.jpg,STYLE,O
049.jpg,COLOR,O
049.jpg,CODE,O
049.jpg,CODE,O
049.jpg,-DYE,O
049.jpg,LOT#-,O
049.jpg,WIDTH,O
049.jpg,LENGTH,O
049.jpg,SQ,O
049.jpg,YARDS,O
049.jpg,UNIT,O
049.jpg,WEIGHT,O
049.jpg,“10490,O
049.jpg,1,O
049.jpg,84290,O
049.jpg,12,O
049.jpg,13,O
049.jpg,17.33,O
049.jpg,1,O
049.jpg,98,O
049.jpg,SIDEMARK:,O
049.jpg,MCKINNON,O
049.jpg,4,O
049.jpg,-UNITS-,O
049.jpg,-~SQ,O
049.jpg,YARDS-,O
049.jpg,28,O
049.jpg,17.33,O
025.jpg,  ,O
025.jpg, ,O
025.jpg,  ,O
025.jpg,  ,O
025.jpg,  ,O
025.jpg,BILL,O
025.jpg,OF,O
025.jpg,LADING,O
025.jpg,     ,O
025.jpg,Date:,B-DATE
025.jpg,01/02/2020,I-DATE
025.jpg,    ,O
025.jpg, ,O
025.jpg,  ,O
025.jpg,    ,O
025.jpg,   ,O
025.jpg,   ,O
025.jpg,   ,O
025.jpg,   ,O
025.jpg,  ,O
025.jpg, ,O
025.jpg,  ,O
025.jpg,   ,O
025.jpg,   ,O
025.jpg,    ,O
025.jpg,  ,O
025.jpg, ,O
025.jpg,SHIP,O
025.jpg,FROM,O
025.jpg,Name,O
025.jpg,:,O
025.jpg,ENGINEERED,B-COMPANY_NAME
025.jpg,FLOORS,I-COMPANY_NAME
025.jpg,-,O
025.jpg,COMMERCIAL,O
025.jpg,Bill,B-INVOICE_NO
025.jpg,of,B-INVOICE_NO
025.jpg,lading,B-INVOICE_NO
025.jpg,number:,B-INVOICE_NO
025.jpg,7357219,B-INVOICE_NO
025.jpg,Address.......:,O
025.jpg,3368,O
025.jpg,OLD,O
025.jpg,DIXIE,O
025.jpg,HWY,O
025.jpg,SE,O
025.jpg,Ter,O
025.jpg,GR,O
025.jpg,Sores,O
025.jpg,1.00000100735722E+016,O
025.jpg,PCD,O
025.jpg,PACIFIC,O
025.jpg,COAST,O
025.jpg,DIST,O
025.jpg,  ,O
025.jpg,  ,O
025.jpg, ,O
025.jpg,  ,O
025.jpg,  ,O
025.jpg,SHIP,O
025.jpg,TO,O
025.jpg,110134,O
025.jpg,Name,O
025.jpg,DE,B-CUST_NAME
025.jpg,BENEDETTO'S,I-CUST_NAME
025.jpg,COMMERCIAL,I-CUST_NAME
025.jpg,FLR,I-CUST_NAME
025.jpg,2104,O
025.jpg,SE,O
025.jpg,9TH,O
025.jpg,AVE,O
025.jpg,Carrier,O
025.jpg,Name..:,O
025.jpg,RO#:,O
025.jpg, ,O
025.jpg, ,O
025.jpg, ,O
025.jpg, ,O
025.jpg,PORTLAND,O
025.jpg,OR,O
025.jpg,97214-4615,O
025.jpg,   ,O
025.jpg, ,O
025.jpg, ,O
025.jpg, ,O
025.jpg,   ,O
025.jpg,    ,O
025.jpg,  ,O
025.jpg,  ,O
025.jpg,  ,O
025.jpg, ,O
025.jpg,PO,O
025.jpg,BOX,O
025.jpg,2207,O
025.jpg,"DALTON,",O
025.jpg,GA,O
025.jpg,30722,O
025.jpg,   ,O
025.jpg,Freight,O
025.jpg,Charge,O
025.jpg,Terms,O
025.jpg,Prepaid,O
025.jpg,x,O
025.jpg,Collect,O
025.jpg,Third,O
025.jpg,Party,O
025.jpg,    ,O
025.jpg,  ,O
025.jpg, ,O
025.jpg, ,O
025.jpg,  ,O
025.jpg,Master,O
025.jpg,bill,O
025.jpg,of,O
025.jpg,lading:,O
025.jpg,with,O
025.jpg,attached,O
025.jpg,Speciai,O
025.jpg,instructions:,O
025.jpg,Underlying,O
025.jpg,bills,O
025.jpg,of,O
025.jpg,lading,O
025.jpg,CUSTOMER,O
025.jpg,ORDER,O
025.jpg,INFORMATION,O
025.jpg,10466,O
025.jpg,po,O
